Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
1, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, , 
1, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, , 
1, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, , 
1, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, , 
1, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Stop, white, 5, 6, -8, Go, , 
1, 6, green, 5, 5, -10, Go, red, 5, 2, -10, Go, white, 5, 7, -10, Go, , 
1, 7, green, 6, 5, -12, Go, red, 5, 3, -12, Go, white, 5, 8, -12, Go, , 
1, 8, green, 7, 5, -14, Go, red, 5, 4, -14, Go, white, 5, 9, -14, Exited, , 
1, 9, green, 8, 5, -16, Go, red, 5, 5, -16, Go, ,,,,, , 
1, 10, green, 9, 5, -18, Exited, red, 5, 6, -18, Go, ,,,,, , 
1, 11, ,,,,, red, 5, 7, -20, Go, ,,,,, , 
1, 12, ,,,,, red, 5, 8, -22, Go, ,,,,, , 
1, 13, ,,,,, red, 5, 9, -24, Exited, ,,,,, , 


2, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, , 
2, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, , 
2, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, , 
2, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, , 
2, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Stop, white, 5, 6, -8, Go, , 
2, 6, green, 5, 5, -10, Go, red, 5, 2, -10, Stop, white, 5, 7, -10, Go, , 
2, 7, green, 6, 5, -12, Go, red, 5, 2, -12, Go, white, 5, 8, -12, Go, , 
2, 8, green, 7, 5, -14, Go, red, 5, 3, -14, Go, white, 5, 9, -14, Exited, , 
2, 9, green, 8, 5, -16, Go, red, 5, 4, -16, Go, ,,,,, , 
2, 10, green, 9, 5, -18, Exited, red, 5, 5, -18, Go, ,,,,, , 
2, 11, ,,,,, red, 5, 6, -20, Go, ,,,,, , 
2, 12, ,,,,, red, 5, 7, -22, Go, ,,,,, , 
2, 13, ,,,,, red, 5, 8, -24, Go, ,,,,, , 
2, 14, ,,,,, red, 5, 9, -26, Exited, ,,,,, , 


3, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, , 
3, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, , 
3, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, , 
3, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, , 
3, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Stop, white, 5, 6, -8, Go, , 
3, 6, green, 5, 5, -10, Go, red, 5, 2, -10, Go, white, 5, 7, -10, Go, , 
3, 7, green, 6, 5, -12, Go, red, 5, 3, -12, Go, white, 5, 8, -12, Go, , 
3, 8, green, 7, 5, -14, Go, red, 5, 4, -14, Stop, white, 5, 9, -14, Exited, , 
3, 9, green, 8, 5, -16, Go, red, 5, 4, -16, Go, ,,,,, , 
3, 10, green, 9, 5, -18, Exited, red, 5, 5, -18, Go, ,,,,, , 
3, 11, ,,,,, red, 5, 6, -20, Go, ,,,,, , 
3, 12, ,,,,, red, 5, 7, -22, Go, ,,,,, , 
3, 13, ,,,,, red, 5, 8, -24, Go, ,,,,, , 
3, 14, ,,,,, red, 5, 9, -26, Exited, ,,,,, , 


4, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, , 
4, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, , 
4, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, , 
4, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, , 
4, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Stop, white, 5, 6, -8, Go, , 
4, 6, green, 5, 5, -10, Go, red, 5, 2, -10, Stop, white, 5, 7, -10, Go, , 
4, 7, green, 6, 5, -12, Go, red, 5, 2, -12, Go, white, 5, 8, -12, Go, , 
4, 8, green, 7, 5, -14, Go, red, 5, 3, -14, Go, white, 5, 9, -14, Exited, , 
4, 9, green, 8, 5, -16, Go, red, 5, 4, -16, Go, ,,,,, , 
4, 10, green, 9, 5, -18, Exited, red, 5, 5, -18, Go, ,,,,, , 
4, 11, ,,,,, red, 5, 6, -20, Go, ,,,,, , 
4, 12, ,,,,, red, 5, 7, -22, Go, ,,,,, , 
4, 13, ,,,,, red, 5, 8, -24, Go, ,,,,, , 
4, 14, ,,,,, red, 5, 9, -26, Exited, ,,,,, , 


5, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, , 
5, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, , 
5, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, , 
5, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, , 
5, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Stop, white, 5, 6, -8, Go, , 
5, 6, green, 5, 5, -10, Go, red, 5, 2, -10, Stop, white, 5, 7, -10, Go, , 
5, 7, green, 6, 5, -12, Go, red, 5, 2, -12, Stop, white, 5, 8, -12, Go, , 
5, 8, green, 7, 5, -14, Go, red, 5, 2, -14, Go, white, 5, 9, -14, Exited, , 
5, 9, green, 8, 5, -16, Go, red, 5, 3, -16, Go, ,,,,, , 
5, 10, green, 9, 5, -18, Exited, red, 5, 4, -18, Go, ,,,,, , 
5, 11, ,,,,, red, 5, 5, -20, Go, ,,,,, , 
5, 12, ,,,,, red, 5, 6, -22, Go, ,,,,, , 
5, 13, ,,,,, red, 5, 7, -24, Go, ,,,,, , 
5, 14, ,,,,, red, 5, 8, -26, Go, ,,,,, , 
5, 15, ,,,,, red, 5, 9, -28, Exited, ,,,,, , 


6, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, , 
6, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, , 
6, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, , 
6, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, , 
6, 5, green, 5, 5, -8, Go, red, 5, 2, -8, Stop, white, 5, 6, -8, Go, , 
6, 6, green, 6, 5, -10, Go, red, 5, 2, -10, Stop, white, 5, 7, -10, Go, , 
6, 7, green, 7, 5, -12, Go, red, 5, 2, -12, Go, white, 5, 8, -12, Go, , 
6, 8, green, 8, 5, -14, Go, red, 5, 3, -14, Go, white, 5, 9, -14, Exited, , 
6, 9, green, 9, 5, -16, Exited, red, 5, 4, -16, Go, ,,,,, , 
6, 10, ,,,,, red, 5, 5, -18, Go, ,,,,, , 
6, 11, ,,,,, red, 5, 6, -20, Go, ,,,,, , 
6, 12, ,,,,, red, 5, 7, -22, Go, ,,,,, , 
6, 13, ,,,,, red, 5, 8, -24, Go, ,,,,, , 
6, 14, ,,,,, red, 5, 9, -26, Exited, ,,,,, , 


7, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, , 
7, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, , 
7, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, , 
7, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, , 
7, 5, green, 5, 5, -8, Go, red, 5, 2, -8, Go, white, 5, 6, -8, Go, , 
7, 6, green, 6, 5, -10, Go, red, 5, 3, -10, Stop, white, 5, 7, -10, Go, , 
7, 7, green, 7, 5, -12, Go, red, 5, 3, -12, Go, white, 5, 8, -12, Go, , 
7, 8, green, 8, 5, -14, Go, red, 5, 4, -14, Go, white, 5, 9, -14, Exited, , 
7, 9, green, 9, 5, -16, Exited, red, 5, 5, -16, Go, ,,,,, , 
7, 10, ,,,,, red, 5, 6, -18, Go, ,,,,, , 
7, 11, ,,,,, red, 5, 7, -20, Go, ,,,,, , 
7, 12, ,,,,, red, 5, 8, -22, Go, ,,,,, , 
7, 13, ,,,,, red, 5, 9, -24, Exited, ,,,,, , 


8, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, , 
8, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, , 
8, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, , 
8, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, , 
8, 5, green, 5, 5, -8, Go, red, 5, 2, -8, Go, white, 5, 6, -8, Go, , 
8, 6, green, 6, 5, -10, Go, red, 5, 3, -10, Stop, white, 5, 7, -10, Go, , 
8, 7, green, 7, 5, -12, Go, red, 5, 3, -12, Go, white, 5, 8, -12, Go, , 
8, 8, green, 8, 5, -14, Go, red, 5, 4, -14, Go, white, 5, 9, -14, Exited, , 
8, 9, green, 9, 5, -16, Exited, red, 5, 5, -16, Go, ,,,,, , 
8, 10, ,,,,, red, 5, 6, -18, Go, ,,,,, , 
8, 11, ,,,,, red, 5, 7, -20, Go, ,,,,, , 
8, 12, ,,,,, red, 5, 8, -22, Go, ,,,,, , 
8, 13, ,,,,, red, 5, 9, -24, Exited, ,,,,, , 


