Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
1, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
1, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
1, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
1, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
1, 5, green, 4, 5, -8, Stop, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
1, 6, green, 4, 5, -10, Go, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
1, 7, green, 5, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
1, 8, green, 6, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
1, 9, green, 7, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
1, 10, green, 8, 5, -18, Go, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
1, 11, green, 9, 5, -20, Exited, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
1, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 


2, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
2, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
2, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
2, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
2, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
2, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
2, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
2, 8, green, 4, 5, -14, Stop, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
2, 9, green, 4, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
2, 10, green, 5, 5, -18, Go, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
2, 11, green, 6, 5, -20, Go, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
2, 12, green, 7, 5, -22, Go, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 
2, 13, green, 8, 5, -24, Go, ,,,,, ,,,,, ,,,,, , 
2, 14, green, 9, 5, -26, Exited, ,,,,, ,,,,, ,,,,, , 


3, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
3, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
3, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
3, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
3, 5, green, 4, 5, -8, Stop, red, 5, 2, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
