Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
1, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
1, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
1, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
1, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
1, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
1, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
1, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
1, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Go, , 
1, 9, green, 4, 5, -16, Stop, red, 5, 5, -16, Go, , 
1, 10, green, 4, 5, -18, Go, red, 5, 6, -18, Go, , 
1, 11, green, 5, 5, -20, Go, red, 5, 7, -20, Go, , 
1, 12, green, 6, 5, -22, Go, red, 5, 8, -22, Go, , 
1, 13, green, 7, 5, -24, Go, red, 5, 9, -24, Exited, , 
1, 14, green, 8, 5, -26, Go, ,,,,, , 
1, 15, green, 9, 5, -28, Exited, ,,,,, , 


2, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
2, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
2, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
2, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Go, , 
2, 5, green, 5, 5, -8, Go, red, 5, 4, -8, Go, , 
2, 6, green, 6, 5, -10, Go, red, 5, 5, -10, Go, , 
2, 7, green, 7, 5, -12, Go, red, 5, 6, -12, Go, , 
2, 8, green, 8, 5, -14, Go, red, 5, 7, -14, Go, , 
2, 9, green, 9, 5, -16, Exited, red, 5, 8, -16, Go, , 
2, 10, ,,,,, red, 5, 9, -18, Exited, , 


3, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
3, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
3, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
3, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Stop, , 
3, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, , 
3, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Stop, , 
3, 7, green, 7, 5, -12, Go, red, 5, 4, -12, Go, , 
3, 8, green, 8, 5, -14, Go, red, 5, 5, -14, Go, , 
3, 9, green, 9, 5, -16, Exited, red, 5, 6, -16, Go, , 
3, 10, ,,,,, red, 5, 7, -18, Go, , 
3, 11, ,,,,, red, 5, 8, -20, Go, , 
3, 12, ,,,,, red, 5, 9, -22, Exited, , 


4, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
4, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
4, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
4, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
4, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
4, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
4, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
