===, Sim 1, ===
Time step, Color, X, Y, Reward, Color, X, Y, Reward, Color, X, Y, Reward, 
1, green, 1, 5, 0, red, 5, 1, 0, white, 5, 2, 0, 
2, green, 2, 5, -2, red, 5, 2, -2, white, 5, 3, -2, 
3, green, 3, 5, -4, red, 5, 3, -4, white, 5, 4, -4, 
4, green, 4, 5, -6, red, 5, 3, -6, white, 5, 5, -6, 
5, green, 4, 5, -8, red, 5, 3, -8, white, 5, 6, -8, 
6, green, 5, 5, -10, red, 5, 4, -10, white, 5, 7, -10, 
7, green, 6, 5, -12, red, 5, 4, -12, white, 5, 8, -12, 
8, green, 7, 5, -14, red, 5, 4, -14, white, 5, 9, -14, 
9, green, 8, 5, -16, red, 5, 4, -16, ,,,, 
10, green, 9, 5, -18, red, 5, 5, -18, ,,,, 
11, ,,,, red, 5, 6, -20, ,,,, 
12, ,,,, red, 5, 7, -22, ,,,, 
13, ,,,, red, 5, 8, -24, ,,,, 
14, ,,,, red, 5, 9, -26, ,,,, 

===, Sim 2, ===
Time step, Color, X, Y, Reward, Color, X, Y, Reward, Color, X, Y, Reward, 
1, green, 1, 5, 0, red, 5, 1, 0, white, 5, 2, 0, 
2, green, 2, 5, -2, red, 5, 2, -2, white, 5, 3, -2, 
3, green, 3, 5, -4, red, 5, 3, -4, white, 5, 4, -4, 
4, green, 3, 5, -6, red, 5, 3, -6, white, 5, 5, -6, 
5, green, 3, 5, -8, red, 5, 3, -8, white, 5, 6, -8, 
6, green, 4, 5, -10, red, 5, 4, -10, white, 5, 7, -10, 
7, green, 4, 5, -12, red, 5, 4, -12, white, 5, 8, -12, 
8, green, 4, 5, -14, red, 5, 4, -14, white, 5, 9, -14, 
9, green, 5, 5, -16, red, 5, 4, -16, ,,,, 
10, green, 6, 5, -18, red, 5, 5, -18, ,,,, 
11, green, 7, 5, -20, red, 5, 6, -20, ,,,, 
12, green, 8, 5, -22, red, 5, 7, -22, ,,,, 
13, green, 9, 5, -24, red, 5, 8, -24, ,,,, 
14, ,,,, red, 5, 9, -26, ,,,, 

