Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
1, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
1, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
1, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
1, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
1, 5, green, 1, 5, 0, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
1, 6, green, 1, 6, 0, Go, red, 2, 6, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
1, 7, green, 1, 7, 0, Go, red, 2, 7, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
1, 8, green, 1, 8, 0, Go, red, 2, 8, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
1, 9, green, 1, 9, -2, Exited, red, 2, 9, -2, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 


2, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
2, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
2, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
2, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
2, 5, green, 1, 5, 0, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
2, 6, green, 1, 6, 0, Go, red, 2, 6, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
2, 7, green, 1, 7, 0, Go, red, 2, 7, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
2, 8, green, 1, 8, 0, Go, red, 2, 8, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
2, 9, green, 1, 9, -2, Exited, red, 2, 9, -2, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 


3, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
3, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
3, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
3, 4, green, 1, 4, 0, Lane, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
3, 5, green, 2, 4, -3, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
3, 6, green, 2, 5, -3, Go, red, 2, 6, 0, Lane, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
3, 7, green, 2, 6, -3, Go, red, 1, 7, -3, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
3, 8, green, 2, 7, -3, Go, red, 1, 8, -3, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
3, 9, green, 2, 8, -5, Go, red, 1, 9, -5, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 
3, 10, green, 2, 9, -7, Exited, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, , 


4, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
4, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
4, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
4, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
4, 5, green, 1, 5, 0, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
4, 6, green, 1, 6, 0, Lane, red, 2, 6, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
4, 7, green, 2, 6, -3, Go, red, 2, 7, 0, Go, white, 1, 8, -2, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
4, 8, green, 2, 7, -3, Go, red, 2, 8, 0, Go, white, 1, 9, -4, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
4, 9, green, 2, 8, -3, Go, red, 2, 9, 0, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 
4, 10, green, 2, 9, -5, Exited, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, , 


5, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
5, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
