Time_stamp,green_car_x,green_car_y,green_car_reward,red_car_x,red_car_y,red_car_reward,white_car_x,white_car_y,white_car_reward,green_car_decision,red_car_decision,white_car_decision,Simulation
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,1
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,1
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,1
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,1
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,1
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,1
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,1
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,1
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,1
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,1
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,2
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,2
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,2
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,2
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,2
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,2
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,2
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,2
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,2
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,2
1,,,,,,,,,,,,,2
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,3
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,3
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,3
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,3
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,3
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,3
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,3
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,3
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,3
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,3
1,,,,,,,,,,,,,3
1,,,,,,,,,,,,,3
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,4
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,4
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,4
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,4
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,4
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,4
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,4
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,4
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,4
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,4
1,,,,,,,,,,,,,4
1,,,,,,,,,,,,,4
1,,,,,,,,,,,,,4
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,5
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,5
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,5
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,5
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,5
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,5
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,5
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,5
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,5
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,5
1,,,,,,,,,,,,,5
1,,,,,,,,,,,,,5
1,,,,,,,,,,,,,5
1,,,,,,,,,,,,,5
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,6
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,6
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,6
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,6
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,6
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,6
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,6
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,6
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,6
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,6
1,,,,,,,,,,,,,6
1,,,,,,,,,,,,,6
1,,,,,,,,,,,,,6
1,,,,,,,,,,,,,6
1,,,,,,,,,,,,,6
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,7
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,7
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,7
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,7
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,7
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,7
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,7
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,7
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,7
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,7
1,,,,,,,,,,,,,7
1,,,,,,,,,,,,,7
1,,,,,,,,,,,,,7
1,,,,,,,,,,,,,7
1,,,,,,,,,,,,,7
1,,,,,,,,,,,,,7
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,8
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,8
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,8
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,8
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,8
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,8
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,8
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,8
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,8
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,8
1,,,,,,,,,,,,,8
1,,,,,,,,,,,,,8
1,,,,,,,,,,,,,8
1,,,,,,,,,,,,,8
1,,,,,,,,,,,,,8
1,,,,,,,,,,,,,8
1,,,,,,,,,,,,,8
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,9
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,9
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,9
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,9
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,9
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,9
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,9
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,9
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,9
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,,,,,,,,,,,,,9
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,10
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,10
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,10
